CARD_NUMBER,REMITTER_ACCOUNT,STATEMENT,BENEFICIARY_ACCOUNT
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
4980337524485168,3.7145E+14,Email me at john.doe@example.com about card 4111111111111111,5105105105105100
555-123-4567-112,3530111333300000,Call me at 555-123-4567 about card 000424242424242424200,4.22222E+12
2253-4424-0625-9428,6011000990139424,"I buy a sheep from Amazon, but my card has not been processed, card number: 5555555555554444. I have another card with your bank, it is 6011000990139424",6011000990139424
4980337524485160,2253-4424-0625-9428,BANK 2253-4424-0625-9428,2E+14
4000056655665556,4000056655665556,Please block card no BANK 2253-4424-0625-9428,3530111333300000
6200000000000005,4000056655665556,What is procedure to redeem points who on credit card 4111111111111111,4000056655665556
3.05693E+13,3.78282E+14,What is procedure to redeem points who on credit card 4980337524485168,4242424242424242
5105105105105100,2253-4424-0625-9432,Customer with card 5555555555-554444 needs assistance,6011111111111117
4111111111111110,3.78282E+14,No sensitive information in this text,3530111333300000
